Error_ID,שגיאה ודרך פתרון
E_Version_1,"גרסת האוטוקד אינה נכונה, יש לשמור בגרסה 2004"
E_Version_2,"גרסת האוטוקד אינה נכונה, יש לשמור בגרסה 2004"
E_FC_1,"קיימת שגיאה קריטית בקובץ, נא להפנות את הקובץ לבדיקה מעמיקה מול מפ""י דרך מרכז התמיכה."
E_BLOCK_1,יש למחוק בלוקים מחוץ לאזור העבודה
E_BLOCK_2,"נא למחוק או להזיז את הבלוקים להם קואורדינטה של 0,0"
E_BLOCK_3,"השכבה מכילה בלוק שבאחד משמות השדות בו נמצא תו שאינו חוקי, למשל: רווח, נקודה, גרשיים, מקף עליון, קו נטוי לדוגמה: - "" /. "
E_BLOCK_4,יש למצוא את DEC_AREA_TBL ולשנות את הגוש והחלקה לערכים מספריים בלבד
E_BLOCK_5,יש לבנות שכבה בשם DEC_AREA_TBL ולהזין ערכים מספריים בשדה הגושים והחלקות
E_BLOCK_6,"יש להשאיר רק שכבה אחת של DEC_AREA_TBL, למחוק את כל המיותרות"
E_Decleration_1,"קיימים מספר בלוקים ב- decleration, יש למחוק את הבלוקים המיותרים, חשוב לוודא שיש ב-decleration את השדות המתאימים"
E_Decleration_2,נא למקם את בלוק ה- decleration בתוך מסגרת M1300
E_Decleration_3,יש להזיז את בלוק ה-decleration לאזור העבודה (בתחום שכבת M1300)
E_Decleration_4,"חסרים נתונים קריטים בבלוק של הצהרת המודד (decleration), יש למלא את השדות SURVEYOR\ACCURACY_VER\ACCURACY_HOR"
E_Decleration_5,בשכבת  decleration יש להזין את הערכים לפי מבנה -    שנה: YYYY     חודש: MM      יום: DD
E_Decleration_6,"בשכבת  decleration יש להזין רק ערכים מספריים ע""פ מבנה -  שנה: YYYY     חודש: MM      יום: DD "
E_Decleration_7,"נמצאה שכבה של declaration אבל היא ריקה, יש להוסיף בלוק של הצהרת מודד"
E_Decleration_8,"יש לייצר מחדש את בלוק ה- decleration, ולמלא את השדות בבלוק"
E_1200_1,"לא נמצא שכבה M1200, נא לייצר שכבה סגורה  בשם M1200"
E_1200_2,"נא לוודא שקיים פוליגון סגור יחיד בשכבה M1200, ולמחוק את שאר הפוליגונים בשכבה זו"
E_1200_3,יש לייצר מחדש את הפוליגון M1200 עם הדגשים הבאים: 1. פוליגון סגור 2. ללא קשתות 3.ללא נקודות שיושבות אחת לשניה (מרחק של פחות מסנטימטר)
E_1200_4,יש לוודא סגירת פוליגון בשכבות M1200 ושכבה M1300
E_1300_1,"לא נמצא שכבה M1300, נא לייצר שכבה סגורה  בשם M1300"
E_1300_2,"נא לוודא שקיים פוליגון סגור יחיד בשכבה M1300, ולמחוק את שאר הפוליגונים בשכבה זו"
E_1300_3,יש לייצר מחדש את הפוליגון M1300 עם הדגשים הבאים: 1. פוליגון סגור 2. ללא קשתות 3.ללא נקודות שיושבות אחת לשניה (מרחק של פחות מסנטימטר)
E_Curves,"ההפוליגון בשכבה M1300  או M1200 מכיל קשתות, יש למחוק את הקשת ולסרטט מחדש כקווים"
E_Annotation,"אחד השדות מכיל מלל ארוך מהמותר, יש לקצר אותו למתחת מ-254 תווים"
E_Annotation_2,"הקובץ מכיל ישות מסוג MTEXT, נא למחוק אותה ולהחליפה בTEXT מסוג רגיל"
